Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2013*,Texas Tech,Big 12,FR,QB,8.0,218.0,340.0,64.1,2315.0,12.0,3.5,9.0,2.6,6.8,6.32,10.6,289.4,127.7,,Baker Mayfield
,,,,QB,,,,,,,,,,,,,,,,Baker Mayfield
2015*,Oklahoma,Big 12,SO,QB,13.0,269.0,395.0,68.1,3700.0,36.0,9.1,7.0,1.8,9.4,10.39,13.8,284.6,173.3,H-4,Baker Mayfield
2016*,Oklahoma,Big 12,JR,QB,13.0,254.0,358.0,70.9,3965.0,40.0,11.2,8.0,2.2,11.1,12.3,15.6,305.0,196.4,H-3,Baker Mayfield
2017*,Oklahoma,Big 12,SR,QB,14.0,285.0,404.0,70.5,4627.0,43.0,10.6,6.0,1.5,11.5,12.91,16.2,330.5,198.9,H-1MaxwellAACamp,Baker Mayfield
Career,Career,Career,Career,QB,48.0,1026.0,1497.0,68.5,14607.0,131.0,8.8,30.0,2.0,9.8,10.61,14.2,304.3,175.4,,Baker Mayfield
,,,,QB,,,,,,,,,,,,,,,,Baker Mayfield
Oklahoma (3 Yrs),Oklahoma (3 Yrs),Oklahoma (3 Yrs),Oklahoma (3 Yrs),QB,40.0,808.0,1157.0,69.8,12292.0,119.0,10.3,21.0,1.8,10.6,11.86,15.2,307.3,189.4,,Baker Mayfield
Texas Tech (1 Yr),Texas Tech (1 Yr),Texas Tech (1 Yr),Texas Tech (1 Yr),QB,8.0,218.0,340.0,64.1,2315.0,12.0,3.5,9.0,2.6,6.8,6.32,10.6,289.4,127.7,,Baker Mayfield
